المحافظة,نسبة موافق,نسبة غير موافق,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,موافق,غير موافق
القليوبية,60.0,40.0,"2,639,808","853,125","15,224",32.9,"512,055","341,070"
الجيزة,66.7,33.3,"4,383,701","1,493,092","24,105",34.6,"995,417","497,675"
القاهرة,43.2,56.8,"6,580,478","2,254,698","36,342",34.8,"974,371","1,280,327"
قنا,84.5,15.5,"1,629,713","364,509","6,743",22.8,"307,839","56,670"
دمياط,64.4,35.6,"868,773","318,944","4,354",37.2,"205,378","113,566"
الشرقية,65.8,34.2,"3,565,351","1,120,328","21,143",32.0,"737,503","382,825"
بني سويف,84.8,15.2,"1,454,278","549,937","13,054",38.7,"466,248","83,689"
الأقصر,76.6,23.4,"685,009","174,620","3,512",26.0,"133,779","40,841"
البحر الأحمر,62.6,37.4,"232,388","70,432",841,30.7,"44,116","26,316"
الدقهلية,54.9,45.1,"3,719,758","1,150,130","21,013",31.5,"631,219","518,911"
جنوب سيناء,63.9,36.1,"65,407","19,023",328,29.6,"12,157","6,866"
مرسى مطروح,91.7,8.3,"212,495","76,630",863,36.5,"70,237","6,393"
الإسماعيلية,70.0,30.0,"713,963","256,210","3,435",36.4,"179,235","76,975"
المنوفية,48.9,51.1,"2,236,898","745,373","14,951",34.0,"364,374","380,999"
أسيوط,76.1,23.9,"2,127,688","581,707","14,176",28.0,"442,506","139,201"
السويس,70.4,29.6,"387,522","147,903","1,880",38.7,"104,061","43,842"
الفيوم,89.5,10.5,"1,579,694","544,109","12,441",35.2,"486,890","57,219"
المنيا,83.0,17.0,"2,718,947","916,094","23,165",34.5,"760,704","155,390"
الوادى الجديد,87.3,12.7,"143,584","46,626",665,32.9,"40,687","5,939"
بورسعيد,51.1,48.9,"445,322","166,931","2,298",38.0,"85,353","81,578"
سوهاج,78.7,21.3,"2,393,672","593,546","13,320",25.4,"467,029","126,517"
شمال سيناء,78.1,21.9,"215,618","64,964",949,30.6,"50,726","14,238"
الغربية,47.8,52.2,"2,948,656","980,497","18,596",33.9,"468,488","512,009"
الأسكندرية,55.6,44.4,"3,347,770","1,193,691","16,883",36.2,"663,975","529,716"
البحيرة,75.5,24.5,"3,276,930","1,084,442","18,505",33.7,"818,755","265,687"
كفر الشيخ,65.8,34.2,"1,886,212","548,554","8,992",29.6,"360,994","187,560"
أسوان,76.7,23.3,"872,740","194,416","3,691",22.7,"149,020","45,396"
المصريون بالخارج,65.8,34.2,"586,491","244,481","1,926",42.0,"160,795","83,686"
الإجمالي,63.8,36.2,"51,918,866","16,755,012","303,395",32.9,"10,693,911","6,061,101"
